tanggal_panen,kebun,divisi,akp_panen,jumlah_tk_panen,luas_panen_ha,jjg_panen_jjg,jjg_kirim_jjg,ketrek,total_jjg_kirim_jjg,tonase_panen_kg,refraksi_kg,refraksi_persen,restant_jjg,bjr_hari_ini,output_kg_hk,output_ha_hk,budget_harian,timbang_kebun_harian,timbang_pks_harian,rotasi_panen,bjr_calc,akp_calc,acv0_prod,selisih
3/23/2025,CANDIMAS,DIVISI 1,25,8,10,320,320,0,320,4240,210,5,0,13,530,1.25,0,4240,4240,0,13.25,25,0,0
3/24/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0
3/25/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0
3/26/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0
3/27/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2219,0,0,0,0,0,0,0
3/28/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/29/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/30/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/3/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/4/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2707,0,0,0,0,0,0,0
4/5/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2707,0,0,0,0,0,0,0
4/6/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/7/2025,CANDIMAS,DIVISI 1,44,8,8,461,461,0,461,6220,310,5,0,13,778,1.01,2707,6220,6220,0,13.49,44,230,0
4/8/2025,CANDIMAS,DIVISI 1,38,8,8,397,397,0,397,5600,280,5,0,14,700,1.01,2707,5600,5600,0,14.11,38,207,0
4/9/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2707,0,0,0,0,0,0,0
4/10/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2707,0,0,0,0,0,0,0
4/11/2025,CANDIMAS,DIVISI 1,44,8,8,461,461,0,461,6980,350,5,0,15,873,1.01,2707,6980,6980,0,15.14,44,258,0
4/12/2025,CANDIMAS,DIVISI 1,39,8,8,415,415,0,415,7290,360,4.9,0,18,911,1.01,2707,7290,7290,0,17.57,39,269,0
4/13/2025,CANDIMAS,DIVISI 1,19,8,8,202,202,0,202,2530,130,5.1,0,13,316,1.01,0,2530,2530,0,12.52,19,0,0
4/14/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2707,0,0,0,0,0,0,0
4/15/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2707,0,0,0,0,0,0,0
4/16/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2707,0,0,0,0,0,0,0
4/17/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2707,0,0,0,0,0,0,0
4/18/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/19/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2707,0,0,0,0,0,0,0
4/20/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/21/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2707,0,0,0,0,0,0,0
4/22/2025,CANDIMAS,DIVISI 1,38,8,8,390,390,0,390,5770,290,5,0,15,721,1,2707,5770,5770,0,14.79,38,213,0
4/23/2025,CANDIMAS,DIVISI 1,39,8,8,406,406,0,406,6210,310,5,0,15,776,1,2707,6210,6210,0,15.3,39,229,0
4/24/2025,CANDIMAS,DIVISI 1,36,8,8,375,375,0,375,6280,310,4.9,0,17,785,1,2707,6280,6280,0,16.75,36,232,0
4/25/2025,CANDIMAS,DIVISI 1,33,8,8,343,343,0,343,5160,260,5,0,15,645,1,2707,5160,5160,0,15.04,33,191,0
4/26/2025,CANDIMAS,DIVISI 1,14,8,8,149,149,0,149,2150,110,5.1,0,14,269,1,2707,2150,2150,0,14.43,14,79,0
4/27/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/28/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2707,0,0,0,0,0,0,0
4/29/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2707,0,0,0,0,0,0,0
4/30/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2707,0,0,0,0,0,0,0
5/1/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/2/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190,0,0,0,0,0,0,0
5/3/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190,0,0,0,0,0,0,0
5/4/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/5/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190,0,0,0,0,0,0,0
5/6/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190,0,0,0,0,0,0,0
5/7/2025,CANDIMAS,DIVISI 1,27,10,10,350,350,0,350,5750,290,5,0,16,575,1.01,3190,5750,5750,0,16.43,27,180,0
5/8/2025,CANDIMAS,DIVISI 1,26,10,10,345,345,0,345,5470,270,4.9,0,16,547,1.01,3190,5470,5470,0,15.86,26,171,0
5/9/2025,CANDIMAS,DIVISI 1,29,10,10,378,378,0,378,6030,300,5,0,16,603,1.01,3190,6030,6030,0,15.95,29,189,0
5/10/2025,CANDIMAS,DIVISI 1,17,10,10,229,229,0,229,3080,150,4.9,0,13,308,1.01,3190,3080,3080,0,13.45,17,97,0
5/11/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/12/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/13/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190,0,0,0,0,0,0,0
5/14/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190,0,0,0,0,0,0,0
5/15/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190,0,0,0,0,0,0,0
5/16/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190,0,0,0,0,0,0,0
5/17/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190,0,0,0,0,0,0,0
5/18/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/19/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190,0,0,0,0,0,0,0
5/20/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190,0,0,0,0,0,0,0
5/21/2025,CANDIMAS,DIVISI 1,29,10,10,384,384,0,384,6220,310,5,0,16,622,1.01,3190,6220,6220,0,16.2,29,195,0
5/22/2025,CANDIMAS,DIVISI 1,27,10,10,362,362,0,362,5640,280,5,0,16,564,1.01,3190,5640,5640,0,15.58,27,177,0
5/23/2025,CANDIMAS,DIVISI 1,27,10,10,362,362,0,362,6160,310,5,0,17,616,1.01,3190,6160,6160,0,17.02,27,193,0
5/24/2025,CANDIMAS,DIVISI 1,18,10,10,237,237,0,237,3140,160,5.1,0,13,314,1.01,3190,3140,3140,0,13.25,18,98,0
5/25/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/26/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190,0,0,0,0,0,0,0
5/27/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190,0,0,0,0,0,0,0
5/28/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190,0,0,0,0,0,0,0
5/29/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/30/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190,0,0,0,0,0,0,0
5/31/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3190,0,0,0,0,0,0,0
6/1/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/2/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3699,0,0,0,0,0,0,0
6/3/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3699,0,0,0,0,0,0,0
6/4/2025,CANDIMAS,DIVISI 1,20,10,14,355,355,0,355,5930,300,5.1,0,17,593,1.35,3699,5930,5930,0,16.7,20,160,0
6/5/2025,CANDIMAS,DIVISI 1,20,10,14,356,356,0,356,6280,310,4.9,0,18,628,1.35,3699,6280,6280,0,17.64,20,170,0
6/6/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/7/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3699,0,0,0,0,0,0,0
6/8/2025,CANDIMAS,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/9/2025,CANDIMAS,DIVISI 1,22,10,14,384,384,0,384,7170,360,5,0,19,717,1.35,3699,7170,7170,0,18.67,22,194,0
