tanggal_panen,kebun,divisi,akp_panen,jumlah_tk_panen,luas_panen_ha,jjg_panen_jjg,jjg_kirim_jjg,ketrek,total_jjg_kirim_jjg,tonase_panen_kg,refraksi_kg,refraksi_persen,restant_jjg,bjr_hari_ini,output_kg_hk,output_ha_hk,budget_harian,timbang_kebun_harian,timbang_pks_harian,rotasi_panen,bjr_calc,akp_calc,acv0_prod,selisih
4/22/2025,PT. LSP PR,DIVISI 1,59,14,15.9,1350,1350,0,1350,31190,1250,4,0,23,2228,1.14,13799,31620,31190,16,23.1,59,226,-430
4/23/2025,PT. LSP PR,DIVISI 1,55,12,17.58,1387,1387,0,1387,29960,1200,4,0,22,2497,1.47,13799,30270,29960,17,21.6,55,217,-310
4/24/2025,PT. LSP PR,DIVISI 1,47,13,19.33,1320,1320,0,1320,27640,940,3.4,0,21,2126,1.49,13799,27950,27640,10,20.94,47,200,-310
4/25/2025,PT. LSP PR,DIVISI 1,41,10,17.36,1028,1028,0,1028,21700,650,3,0,21,2170,1.74,13799,21980,21700,19,21.11,41,157,-280
4/26/2025,PT. LSP PR,DIVISI 1,29,13,23.8,979,979,0,979,21300,640,3,0,22,1638,1.83,13799,21540,21300,12,21.76,29,154,-240
4/27/2025,PT. LSP PR,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
4/28/2025,PT. LSP PR,DIVISI 1,30,13,20.86,893,893,0,893,19780,590,3,0,22,1522,1.6,13799,20010,19780,14,22.15,30,143,-230
4/29/2025,PT. LSP PR,DIVISI 1,38,14,18.8,1024,1024,0,1024,22370,670,3,0,22,1598,1.34,13799,22710,22370,15,21.85,38,162,-340
4/30/2025,PT. LSP PR,DIVISI 1,29,13,24.65,1018,1018,0,1018,22140,670,3,0,22,1703,1.9,13799,22330,22140,15,21.75,29,160,-190
5/1/2025,PT. LSP PR,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
5/2/2025,PT. LSP PR,DIVISI 1,18,13,34.39,903,903,0,903,20960,630,3,0,23,1612,2.65,14757,21240,20960,16,23.21,18,142,-280
5/3/2025,PT. LSP PR,DIVISI 1,19,9,26.6,720,720,0,720,15530,470,3,0,22,1726,2.96,14757,15670,15530,10,21.57,19,105,-140
5/4/2025,PT. LSP PR,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
5/5/2025,PT. LSP PR,DIVISI 1,30,5,8.3,353,353,0,353,8180,250,3.1,0,23,1636,1.66,14757,8310,8180,12,23.17,30,55,-130
5/6/2025,PT. LSP PR,DIVISI 1,27,5,8.5,325,325,0,325,6130,180,2.9,0,19,1226,1.7,14757,6210,6130,13,18.86,27,42,-80
5/7/2025,PT. LSP PR,DIVISI 1,25,12,19.27,689,689,0,689,14850,440,3,0,22,1238,1.61,14757,15000,14850,12,21.55,25,101,-150
5/8/2025,PT. LSP PR,DIVISI 1,21,13,24.8,733,702,0,702,15990,480,3,31,23,1230,1.91,14757,16230,15990,10,22.78,21,108,-240
5/9/2025,PT. LSP PR,DIVISI 1,20,13,31.08,873,904,0,904,19570,590,3,0,22,1505,2.39,14757,19800,19570,11,21.65,20,133,-230
5/10/2025,PT. LSP PR,DIVISI 1,21,12,28.53,661,661,0,661,14620,440,3,0,22,1218,2.38,14757,14800,14620,9,22.12,21,99,-180
5/11/2025,PT. LSP PR,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
5/12/2025,PT. LSP PR,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
5/13/2025,PT. LSP PR,DIVISI 1,22,14,29.51,915,915,0,915,21340,680,3.2,0,23,1524,2.11,14757,21550,21340,12,23.32,22,145,-210
5/14/2025,PT. LSP PR,DIVISI 1,23,14,31.01,1023,1023,0,1023,21160,640,3,0,21,1511,2.22,14757,21760,21160,13,20.68,23,143,-600
5/15/2025,PT. LSP PR,DIVISI 1,15,9,33.07,721,721,0,721,15360,470,3.1,0,21,1707,3.67,14757,15620,15360,9,21.3,15,104,-260
5/16/2025,PT. LSP PR,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14757,0,0,10,0,0,0,0
5/17/2025,PT. LSP PR,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14757,0,0,11,0,0,0,0
5/18/2025,PT. LSP PR,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
5/19/2025,PT. LSP PR,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14757,0,0,13,0,0,0,0
5/20/2025,PT. LSP PR,DIVISI 1,24,13,21.8,749,703,0,703,16640,500,3,46,24,1280,1.68,14757,16780,16640,11,23.67,24,113,-140
5/21/2025,PT. LSP PR,DIVISI 1,22,14,28.2,877,923,0,923,21260,640,3,0,23,1519,2.01,14757,21500,21260,12,23.03,22,144,-240
5/22/2025,PT. LSP PR,DIVISI 1,12,13,49.12,830,830,0,830,18380,550,3,0,22,1414,3.78,14757,18570,18380,13,22.14,12,125,-190
5/23/2025,PT. LSP PR,DIVISI 1,23,13,27.95,916,843,0,843,19150,580,3,73,23,1473,2.15,14757,19420,19150,9,22.72,23,130,-270
5/24/2025,PT. LSP PR,DIVISI 1,18,14,27.8,727,800,0,800,17470,530,3,0,22,1248,1.99,14757,17670,17470,10,21.84,18,118,-200
5/25/2025,PT. LSP PR,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
5/26/2025,PT. LSP PR,DIVISI 1,11,14,41.53,661,661,0,661,14680,440,3,0,22,1049,2.97,14757,14820,14680,7,22.21,11,99,-140
5/27/2025,PT. LSP PR,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14757,0,0,8,0,0,0,0
5/28/2025,PT. LSP PR,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14757,0,0,9,0,0,0,0
5/29/2025,PT. LSP PR,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
5/30/2025,PT. LSP PR,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14757,0,0,11,0,0,0,0
5/31/2025,PT. LSP PR,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14757,0,0,12,0,0,0,0
6/1/2025,PT. LSP PR,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
6/2/2025,PT. LSP PR,DIVISI 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19799,0,0,14,0,0,0,0
6/3/2025,PT. LSP PR,DIVISI 1,16,5,16.1,361,361,0,361,9140,270,3,0,25,1828,3.22,19799,9210,9140,15,25.32,16,46,-70
6/4/2025,PT. LSP PR,DIVISI 1,20,8,19.2,548,548,0,548,12680,380,3,0,23,1585,2.4,19799,12820,12680,16,23.14,20,64,-140
6/5/2025,PT. LSP PR,DIVISI 1,16,9,23.1,534,534,0,534,12450,380,3.1,0,23,1383,2.57,19799,12590,12450,17,23.31,16,63,-140
